sheet,row,sku,issue,current,suggested
PRICE_COIFFANCE_CLEAN,21,COI-0020,Normalize product name,CF Coiffabce Шампунь COLOR  INTENSE 250 мл,CF Coiffabce Шампунь COLOR INTENSE 250 мл
PRICE_COIFFANCE_CLEAN,21,COI-0020,Extract volume from name,,250 ml
PRICE_COIFFANCE_CLEAN,22,COI-0021,Extract volume from name,,200 ml
PRICE_COIFFANCE_CLEAN,23,COI-0022,Extract volume from name,,200 ml
PRICE_COIFFANCE_CLEAN,24,COI-0023,Extract volume from name,,500 ml
PRICE_COIFFANCE_CLEAN,25,COI-0024,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,26,COI-0025,Extract volume from name,,250 ml
PRICE_COIFFANCE_CLEAN,27,COI-0026,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,28,COI-0027,Extract volume from name,,250 ml
PRICE_COIFFANCE_CLEAN,29,COI-0028,Extract volume from name,,150 ml
PRICE_COIFFANCE_CLEAN,30,COI-0029,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,31,COI-0030,Extract volume from name,,250 ml
PRICE_COIFFANCE_CLEAN,32,COI-0031,Extract volume from name,,150 ml
PRICE_COIFFANCE_CLEAN,33,COI-0032,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,34,COI-0033,Extract volume from name,,250 ml
PRICE_COIFFANCE_CLEAN,35,COI-0034,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,36,COI-0035,Extract volume from name,,250 ml
PRICE_COIFFANCE_CLEAN,37,COI-0036,Extract volume from name,,400 ml
PRICE_COIFFANCE_CLEAN,38,COI-0037,Extract volume from name,,200 ml
PRICE_ELEA_CLEAN,2,ELE-0001,Normalize product name,ELEA  Стійка крем-фарба  ARTISTO 100 мл,ELEA Стійка крем-фарба ARTISTO 100 мл
PRICE_ELEA_CLEAN,2,ELE-0001,Missing or technical category,,
PRICE_ELEA_CLEAN,2,ELE-0001,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,3,ELE-0002,Missing or technical category,,
PRICE_ELEA_CLEAN,3,ELE-0002,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,4,ELE-0003,Normalize category,Тонуючий гель  Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл
PRICE_ELEA_CLEAN,4,ELE-0003,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,5,ELE-0004,Normalize category,Тонуючий гель  Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл
PRICE_ELEA_CLEAN,5,ELE-0004,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,6,ELE-0005,Normalize category,Тонуючий гель  Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл
PRICE_ELEA_CLEAN,6,ELE-0005,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,7,ELE-0006,Normalize category,Тонуючий гель  Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл
PRICE_ELEA_CLEAN,7,ELE-0006,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,8,ELE-0007,Normalize category,Тонуючий гель  Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл
PRICE_ELEA_CLEAN,8,ELE-0007,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,9,ELE-0008,Normalize category,Тонуючий гель  Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл
PRICE_ELEA_CLEAN,9,ELE-0008,Extract volume from name,,100 ml
