sku,brand,name,category,volume,country,purchase_price,retail_price,my_retail,selected,source_sheet,source_row
COI-0014,Coiffance,CF 8644 Coiffance Еліксир незмивний ELIXIR FOR NUTRITION AND BRIL. SHINE 50 мл,"Еліксир, сироватка",50 ml,France,791,1187,1187,no,PRICE_COIFFANCE_CLEAN,15
COI-0015,Coiffance,CF Coiffance Двофазний спрей COLOR 150 мл,COLOR CARE LINE Догляд д/фарбованого волосся,150 ml,France,535,803,803,no,PRICE_COIFFANCE_CLEAN,16
COI-0016,Coiffance,CF Coiffance Маска COLOR INTENSE 200 мл,COLOR CARE LINE Догляд д/фарбованого волосся,200 ml,France,673,1010,1010,no,PRICE_COIFFANCE_CLEAN,17
COI-0017,Coiffance,CF Coiffance Шампунь COLOR 1000 мл,COLOR CARE LINE Догляд д/фарбованого волосся,1000 ml,France,1253,1880,1880,no,PRICE_COIFFANCE_CLEAN,18
COI-0018,Coiffance,CF Coiffance Шампунь COLOR 250 мл,COLOR CARE LINE Догляд д/фарбованого волосся,250 ml,France,514,771,771,no,PRICE_COIFFANCE_CLEAN,19
COI-0019,Coiffance,CF Coiffance Шампунь COLOR INTENSE 1000 мл,COLOR CARE LINE Догляд д/фарбованого волосся,1000 ml,France,1253,1880,1880,no,PRICE_COIFFANCE_CLEAN,20
COI-0020,Coiffance,CF Coiffabce Шампунь COLOR INTENSE 250 мл,COLOR CARE LINE Догляд д/фарбованого волосся,250 ml,France,514,771,771,no,PRICE_COIFFANCE_CLEAN,21
COI-0021,Coiffance,CF Coiffance Кондиціонер NUTRI 200 мл,NUTRI LINE Догляд д/сухого та пошкодж.волосся,200 ml,France,634,951,951,no,PRICE_COIFFANCE_CLEAN,22
COI-0022,Coiffance,CF Coiffance Маска NUTRI INTENSE 200 мл,NUTRI LINE Догляд д/сухого та пошкодж.волосся,200 ml,France,673,1010,1010,no,PRICE_COIFFANCE_CLEAN,23
COI-0023,Coiffance,CF Coiffance Маска NUTRI INTENSE 500 мл,NUTRI LINE Догляд д/сухого та пошкодж.волосся,500 ml,France,942,1413,1413,no,PRICE_COIFFANCE_CLEAN,24
COI-0024,Coiffance,CF Coiffance Шампунь NUTRI INTENSE 1000 мл,NUTRI LINE Догляд д/сухого та пошкодж.волосся,1000 ml,France,1253,1880,1880,no,PRICE_COIFFANCE_CLEAN,25
COI-0025,Coiffance,CF Coiffance Шампунь NUTRI INTENSE 250 мл,NUTRI LINE Догляд д/сухого та пошкодж.волосся,250 ml,France,514,771,771,no,PRICE_COIFFANCE_CLEAN,26
COI-0026,Coiffance,CF Coiffance Шампунь NUTRI 1000 мл,NUTRI LINE Догляд д/сухого та пошкодж.волосся,1000 ml,France,1253,1880,1880,no,PRICE_COIFFANCE_CLEAN,27
