sku,brand,name,category,volume,country,purchase_price,retail_price,my_retail,selected,source_sheet,source_row
ERA-0072,Erayba,Erayba K15 Argan Mystic Oil Олія 50 мл,Ботокс лікування волосся HYDRAKER,50 ml,Spain,575,920,920,yes,PRICE_ERAYBA_CLEAN,73
ERA-0073,Erayba,Erayba K16 Keratin Кондиціонер 1000 мл,Ботокс лікування волосся HYDRAKER,1000 ml,Spain,915,1464,1464,yes,PRICE_ERAYBA_CLEAN,74
ERA-0074,Erayba,Erayba K16 Keratin Кондиціонер 250 мл,Ботокс лікування волосся HYDRAKER,250 ml,Spain,480,768,768,yes,PRICE_ERAYBA_CLEAN,75
ERA-0075,Erayba,Erayba NC10 Collastin Маска 1000 мл,Догляд для волосся NUTRIACTIVE COLLASTIN,1000 ml,Spain,1170,1872,1872,yes,PRICE_ERAYBA_CLEAN,76
ERA-0076,Erayba,Erayba NC10 Collastin Маска 250 мл,Догляд для волосся NUTRIACTIVE COLLASTIN,250 ml,Spain,550,880,880,yes,PRICE_ERAYBA_CLEAN,77
ERA-0078,Erayba,Erayba NC12 Collastin Шампунь 1000 мл,Догляд для волосся NUTRIACTIVE COLLASTIN,1000 ml,Spain,1360,2176,2176,yes,PRICE_ERAYBA_CLEAN,79
ERA-0079,Erayba,Erayba NC12 Collastin Шампунь 250 мл,Догляд для волосся NUTRIACTIVE COLLASTIN,250 ml,Spain,555,888,888,yes,PRICE_ERAYBA_CLEAN,80
ERA-0080,Erayba,Erayba NC15 Instant serum Сироватка 100 мл,Догляд для волосся NUTRIACTIVE COLLASTIN,100 ml,Spain,665,1063,1063,yes,PRICE_ERAYBA_CLEAN,81
ERA-0081,Erayba,Erayba NC16 Collastin Кондиціонер 1000 мл,Догляд для волосся NUTRIACTIVE COLLASTIN,1000 ml,Spain,865,1384,1384,yes,PRICE_ERAYBA_CLEAN,82
ERA-0082,Erayba,Erayba NC16 Collastin Кондиціонер 250 мл,Догляд для волосся NUTRIACTIVE COLLASTIN,250 ml,Spain,470,752,752,yes,PRICE_ERAYBA_CLEAN,83
ERA-0083,Erayba,Erayba NC18 Collasin 2phase Двофазний спрей 200 мл,Догляд для волосся NUTRIACTIVE COLLASTIN,200 ml,Spain,420,672,672,yes,PRICE_ERAYBA_CLEAN,84
ERA-0084,Erayba,Erayba NC18 Collasin 2phase Двофазний спрей 500 мл,Догляд для волосся NUTRIACTIVE COLLASTIN,500 ml,Spain,745,1192,1192,yes,PRICE_ERAYBA_CLEAN,85
ERA-0087,Erayba,Erayba BS10 Маска 1000 мл,Випрямлення + догляд BIO SMOOTH,1000 ml,Spain,1530,2449,2449,yes,PRICE_ERAYBA_CLEAN,88
ERA-0088,Erayba,Erayba BS10 Спрей-маска незмиваема 150 мл,Випрямлення + догляд BIO SMOOTH,150 ml,Spain,475,760,760,yes,PRICE_ERAYBA_CLEAN,89
ERA-0089,Erayba,Erayba BS12 Шампунь 1000 мл,Випрямлення + догляд BIO SMOOTH,1000 ml,Spain,1360,2176,2176,yes,PRICE_ERAYBA_CLEAN,90
ERA-0090,Erayba,Erayba BS12 Шампунь 250 мл,Випрямлення + догляд BIO SMOOTH,250 ml,Spain,555,888,888,yes,PRICE_ERAYBA_CLEAN,91
ERA-0091,Erayba,Erayba BS16 Кондиціонер 1000 мл,Випрямлення + догляд BIO SMOOTH,1000 ml,Spain,1155,1848,1848,yes,PRICE_ERAYBA_CLEAN,92
ERA-0092,Erayba,Erayba BS16 Кондиціонер 250 мл,Випрямлення + догляд BIO SMOOTH,250 ml,Spain,490,784,784,yes,PRICE_ERAYBA_CLEAN,93
ERA-0093,Erayba,Erayba BS18 Двофазний спрей 200 мл,Випрямлення + догляд BIO SMOOTH,200 ml,Spain,510,816,816,yes,PRICE_ERAYBA_CLEAN,94
ERA-0094,Erayba,Erayba BS18 Двофазний спрей 500 мл,Випрямлення + догляд BIO SMOOTH,500 ml,Spain,880,1408,1408,yes,PRICE_ERAYBA_CLEAN,95
ERA-0095,Erayba,Erayba B10 Біомаска 1000 мл,Органічний догляд для волосся BIO ME,1000 ml,Spain,1071,1714,1714,yes,PRICE_ERAYBA_CLEAN,96
ERA-0096,Erayba,Erayba B10 Біомаска 200 мл,Органічний догляд для волосся BIO ME,200 ml,Spain,460,736,736,yes,PRICE_ERAYBA_CLEAN,97
ERA-0100,Erayba,Erayba B18 Біодвофазний спрей 200 мл,Органічний догляд для волосся BIO ME,200 ml,Spain,449,718,718,yes,PRICE_ERAYBA_CLEAN,101
ERA-0101,Erayba,Erayba B18 Біодвофазний спрей 500 мл,Органічний догляд для волосся BIO ME,500 ml,Spain,600,960,960,yes,PRICE_ERAYBA_CLEAN,102
ERA-0106,Erayba,Erayba Z18R/EXO Ампули проти випадіння волосся 5 мл х 15 шт. NEW!!!,Лікування волосся ZEN NEW!!! Проти Випадіння,5 ml,Spain,1250,2000,2000,yes,PRICE_ERAYBA_CLEAN,107
ERA-0107,Erayba,E Z12B Шампунь проти жирного волосся 250 мл NEW!!!,Лікування волосся ZEN NEW!!! Жирність,250 ml,Spain,605,968,968,yes,PRICE_ERAYBA_CLEAN,108
ERA-0108,Erayba,E Z12B Шампунь проти жирного волосся 750 мл NEW!!!,Лікування волосся ZEN NEW!!! Жирність,750 ml,Spain,1490,2384,2384,yes,PRICE_ERAYBA_CLEAN,109
ERA-0109,Erayba,E Z18B Льосьон проти жирного волосся 100 мл NEW!!!,Лікування волосся ZEN NEW!!! Жирність,100 ml,Spain,1145,1832,1832,yes,PRICE_ERAYBA_CLEAN,110
ERA-0126,Erayba,Erayba S19 Термозахисний спрей 150 мл,Укладка STYLE ACTIVE NEW!!!,150 ml,Spain,720,1152,1152,yes,PRICE_ERAYBA_CLEAN,127
ERA-0131,Erayba,Erayba S50 Сольвий спрей 150 мл,Укладка STYLE ACTIVE NEW!!!,150 ml,Spain,540,864,864,yes,PRICE_ERAYBA_CLEAN,132
GLY-0034,Glynt,GLYNT Кондиціонер зволожуючий HYDRO Conditioner 1000 мл,HYDRO Догляд для волосся зволоження волосся,1000 ml,Germany,1650,3300,2970,yes,PRICE_GLYNT_CLEAN,35
GLY-0035,Glynt,GLYNT Кондиціонер зволожуючий HYDRO Conditioner 200 мл,HYDRO Догляд для волосся зволоження волосся,200 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,36
GLY-0038,Glynt,GLYNT Шампунь зволожуючий HYDRO Shampoo 1000 мл,HYDRO Догляд для волосся зволоження волосся,1000 ml,Germany,1140,2280,2052,yes,PRICE_GLYNT_CLEAN,39
GLY-0039,Glynt,GLYNT Шампунь зволожуючий HYDRO Shampoo 250 мл,HYDRO Догляд для волосся зволоження волосся,250 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,40
GLY-0041,Glynt,GLYNT Кондиціонер для об'єму VOLUME Conditioner 200 мл,VOLUME для об'єму,200 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,42
GLY-0042,Glynt,GLYNT Кондиціонер для об'єму VOLUME Conditioner 1000 мл,VOLUME для об'єму,1000 ml,Germany,1890,3781,3402,yes,PRICE_GLYNT_CLEAN,43
GLY-0046,Glynt,GLYNT Шампунь для об'єму VOLUME Shampoo 1000 мл,VOLUME для об'єму,1000 ml,Germany,1140,2280,2052,yes,PRICE_GLYNT_CLEAN,47
GLY-0047,Glynt,GLYNT Шампунь для об'єму VOLUME ENERGY Shampoo 250 мл,VOLUME для об'єму,250 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,48
GLY-0048,Glynt,GLYNT Маска віднов. REVITAL MASK 1000 мл,REVITAL віднов. волосся,1000 ml,Germany,1890,3781,3402,yes,PRICE_GLYNT_CLEAN,49
GLY-0049,Glynt,GLYNT Маска віднов REVITAL REGAIN MASK 200 мл,REVITAL віднов. волосся,200 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,50
GLY-0052,Glynt,GLYNT Шампунь віднов. REVITAL REGAIN SHAMPOO 1000 мл,REVITAL віднов. волосся,1000 ml,Germany,1140,2280,2052,yes,PRICE_GLYNT_CLEAN,53
GLY-0053,Glynt,GLYNT Шампунь віднов. REVITAL REGAIN SHAMPOO 250 мл,REVITAL віднов. волосся,250 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,54
GLY-0055,Glynt,GLYNT Маска живильна NUTRI OIL Mask 1000 мл,NUTRI живлення волосся,1000 ml,Germany,1890,3780,3402,yes,PRICE_GLYNT_CLEAN,56
GLY-0056,Glynt,GLYNT Маска живильна NUTRI OIL Mask 200 мл,NUTRI живлення волосся,200 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,57
GLY-0057,Glynt,GLYNT Спрей для блиску NUTRI Shine Spray 100 мл,NUTRI живлення волосся,100 ml,Germany,520,1040,936,yes,PRICE_GLYNT_CLEAN,58
GLY-0059,Glynt,GLYNT Шампунь живильний NUTRI OIL Shampoo 1000 мл,NUTRI живлення волосся,1000 ml,Germany,1540,3080,2772,yes,PRICE_GLYNT_CLEAN,60
GLY-0060,Glynt,GLYNT Шампунь живильний NUTRI OIL Shampoo 250 мл,NUTRI живлення волосся,250 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,61
GLY-0068,Glynt,GLYNT Шампунь регулятор DERMA Shampoo 1000 мл,"DERMA випадіння,лупа, жирне волосся",1000 ml,Germany,1550,3100,2790,yes,PRICE_GLYNT_CLEAN,69
GLY-0069,Glynt,GLYNT Шампунь регулятор DERMA REGULATE Shampoo 250 мл,"DERMA випадіння,лупа, жирне волосся",250 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,70
GLY-0070,Glynt,GLYNT Шампунь п/випадіння REFRESH Shampoo 1000 мл,"REFRESH Проти випадіння, рост волосся",1000 ml,Germany,1550,3100,2790,yes,PRICE_GLYNT_CLEAN,71
GLY-0071,Glynt,GLYNT Шампунь п/випадіння REFRESH Shampoo 250 мл,"REFRESH Проти випадіння, рост волосся",250 ml,Germany,470,940,846,yes,PRICE_GLYNT_CLEAN,72
LOV-0018,Lovien Essential,Lovien Маска Repair therapy mask 1000 мл,"Шампуні, кондиціонери, лікування волосся",1000 ml,Italy,600,1020,1020,yes,PRICE_LOVIEN_CLEAN,19
LOV-0020,Lovien Essential,Lovien Маска Repair therapy mask 250 мл,"Шампуні, кондиціонери, лікування волосся",250 ml,Italy,295,501,501,yes,PRICE_LOVIEN_CLEAN,21
LOV-0021,Lovien Essential,Lovien Маска Repair therapy mask 500 мл,"Шампуні, кондиціонери, лікування волосся",500 ml,Italy,350,595,595,yes,PRICE_LOVIEN_CLEAN,22
LOV-0022,Lovien Essential,Lovien Сироватка для волосся SERUM THERAPY 100 мл,"Шампуні, кондиціонери, лікування волосся",100 ml,Italy,590,1003,1003,yes,PRICE_LOVIEN_CLEAN,23
LOV-0023,Lovien Essential,Lovien Флюїд SILK CREAM 120 мл,"Шампуні, кондиціонери, лікування волосся",120 ml,Italy,590,1003,1003,yes,PRICE_LOVIEN_CLEAN,24
LOV-0030,Lovien Essential,Lovien Шампунь MINERAL OIL 1000 мл,"Шампуні, кондиціонери, лікування волосся",1000 ml,Italy,600,1020,1020,yes,PRICE_LOVIEN_CLEAN,31
LOV-0032,Lovien Essential,Lovien Шампунь MINERAL OIL 300 мл,"Шампуні, кондиціонери, лікування волосся",300 ml,Italy,345,587,587,yes,PRICE_LOVIEN_CLEAN,33
LOV-0035,Lovien Essential,Lovien Маска Botox Filler Маска з ботоксом 500 мл,Серія Botox Filler,500 ml,Italy,900,1530,1530,yes,PRICE_LOVIEN_CLEAN,36
ENV-0022,Envie,"Маска SOS EXPRESS з амінокислотами, EN463",СЕРІЯ SOS EXPRESS,1000 ml,Italy,873.6,1747.2,,yes,ENVIE_CLEAN,23
ENV-0023,Envie,"Маска SOS EXPRESS з амінокислотами, EN462",СЕРІЯ SOS EXPRESS,250 ml,Italy,390,780,,yes,ENVIE_CLEAN,24
ENV-0028,Envie,"ENVIE SUBLIME KERATIN Шампунь для пошкодженого волосся з кератином, EN451",СЕРІЯ ДЛЯ ПОШКОДЖЕНОГО ВОЛОССЯ,1000 ml,Italy,624,1248,,yes,ENVIE_CLEAN,29
ENV-0029,Envie,"ENVIE SUBLIME KERATIN Шампунь для пошкодженого волосся з кератином, EN453",СЕРІЯ ДЛЯ ПОШКОДЖЕНОГО ВОЛОССЯ,250 ml,Italy,312,624,,yes,ENVIE_CLEAN,30
ENV-0030,Envie,"ENVIE SUBLIME MASK KERATIN 1000 ML EN450 Капілярна маска для пошкодженого волосся, EN450",СЕРІЯ ДЛЯ ПОШКОДЖЕНОГО ВОЛОССЯ,1000 ml,Italy,624,1248,,yes,ENVIE_CLEAN,31
ENV-0031,Envie,"ENVIE SUBLIME MASK KERATIN 250 ML EN452 Капілярна маска для пошкодженого волосся, EN452",СЕРІЯ ДЛЯ ПОШКОДЖЕНОГО ВОЛОССЯ,250 ml,Italy,312,624,,yes,ENVIE_CLEAN,32
ENV-0032,Envie,"ENVIE SUBLIME Ампули реконструкції KERATIN, EN455",СЕРІЯ ДЛЯ ПОШКОДЖЕНОГО ВОЛОССЯ,10х10ml,Italy,858,1716,,yes,ENVIE_CLEAN,33
ENV-0033,Envie,"ENVIE SUBLIME Термоактивний спрей , EN469",СЕРІЯ ДЛЯ ПОШКОДЖЕНОГО ВОЛОССЯ,200 ml,Italy,431.6,863.2,,yes,ENVIE_CLEAN,34
